word,translation,options,category,image_url
apple,תפוח,"[""apple"",""banana"",""car"",""house""]",food,
banana,בננה,"[""grape"",""banana"",""bread"",""milk""]",food,
dog,כלב,"[""cat"",""dog"",""fish"",""bird""]",animals,
cat,חתול,"[""cat"",""cow"",""duck"",""frog""]",animals,
book,ספר,"[""pen"",""book"",""desk"",""chair""]",school,
pencil,עפרון,"[""pencil"",""ruler"",""bag"",""clock""]",school,
sun,שמש,"[""moon"",""star"",""sun"",""cloud""]",nature,
tree,עץ,"[""tree"",""flower"",""rock"",""river""]",nature,
ball,כדור,"[""ball"",""bat"",""goal"",""run""]",sports,
car,מכונית,"[""bus"",""car"",""bike"",""train""]",transport,
house,בית,"[""house"",""school"",""park"",""shop""]",places,
water,מים,"[""juice"",""water"",""cake"",""egg""]",food,
bird,ציפור,"[""bird"",""lion"",""bear"",""horse""]",animals,
fish,דג,"[""fish"",""snake"",""mouse"",""rabbit""]",animals,
happy,שמח,"[""sad"",""happy"",""angry"",""tired""]",feelings,
